,mae_IS,mae_OOS,mape_IS,mape_OOS,model,store_id,store_level
0,10,15,0.498,0.541,"{'pvalues': FOURIER_S365-0     6.019397e-01
FOURIER_C365-0     7.062421e-01
FOURIER_S365-1     3.524294e-01
FOURIER_C365-1     9.782839e-01
ar.L1              3.810298e-58
ar.L2             1.419142e-251
ma.L1              0.000000e+00
ar.S.L7            0.000000e+00
ar.S.L14          4.183092e-212
sigma2             0.000000e+00
dtype: float64, 'resid': date
2017-08-07     5.862692
2017-08-08     4.375861
2017-08-09    31.044229
2017-08-10    15.198464
2017-08-11    14.697283
                ...    
2021-01-13    -1.421894
2021-01-14     3.053270
2021-01-15     6.857350
2021-01-16     5.881387
2021-01-17   -18.802546
Length: 1260, dtype: float64, 'order': (2, 0, 1), 'seasonal_order': (2, 1, 0, 7), 'oob': nan, 'aic': 10962.520765712532, 'aicc': 10962.696906625262, 'bic': 11013.853725261493, 'bse': FOURIER_S365-0    13.698082
FOURIER_C365-0    10.815373
FOURIER_S365-1     5.286294
FOURIER_C365-1     7.832002
ar.L1              0.021133
ar.L2              0.019149
ma.L1              0.015183
ar.S.L7            0.010199
ar.S.L14           0.010318
sigma2             4.047103
dtype: float64, 'params': FOURIER_S365-0      7.145099
FOURIER_C365-0     -4.076399
FOURIER_S365-1     -4.915658
FOURIER_C365-1     -0.213190
ar.L1              -0.339710
ar.L2               0.648720
ma.L1               0.982137
ar.S.L7            -0.572329
ar.S.L14           -0.320697
sigma2            362.208489
dtype: float64}",307222,A
1,9,6,0.52,0.325,"{'pvalues': FOURIER_S365-0     6.148910e-01
FOURIER_C365-0     7.115095e-01
FOURIER_S365-1     4.987797e-01
FOURIER_C365-1     9.269007e-01
ar.L1              0.000000e+00
ar.L2              8.090005e-02
ar.L3              6.057117e-06
ar.L4              5.915680e-03
ar.S.L7            0.000000e+00
ar.S.L14          1.145628e-199
sigma2             0.000000e+00
dtype: float64, 'resid': date
2017-08-10     5.918206
2017-08-11     3.946914
2017-08-12     3.556102
2017-08-13     3.553106
2017-08-14     3.548250
                ...    
2021-01-13    12.307779
2021-01-14    -3.189616
2021-01-15     3.851644
2021-01-16    -1.049803
2021-01-17    -0.526195
Length: 1257, dtype: float64, 'order': (4, 0, 0), 'seasonal_order': (2, 1, 0, 7), 'oob': nan, 'aic': 10442.249866192878, 'aicc': 10442.461914385649, 'bic': 10498.689753326138, 'bse': FOURIER_S365-0    11.104673
FOURIER_C365-0     8.131850
FOURIER_S365-1     4.254608
FOURIER_C365-1     5.995280
ar.L1              0.014396
ar.L2              0.027146
ar.L3              0.028344
ar.L4              0.028884
ar.S.L7            0.011682
ar.S.L14           0.010928
sigma2             2.889936
dtype: float64, 'params': FOURIER_S365-0      5.586807
FOURIER_C365-0     -3.007398
FOURIER_S365-1     -2.877864
FOURIER_C365-1     -0.550037
ar.L1               0.660702
ar.L2               0.047384
ar.L3              -0.128241
ar.L4               0.079501
ar.S.L7            -0.598502
ar.S.L14           -0.329457
sigma2            243.560132
dtype: float64}",307244,A
2,7,7,0.513,0.307,"{'pvalues': FOURIER_S365-0     6.401056e-01
FOURIER_C365-0     6.763846e-01
FOURIER_S365-1     3.417186e-01
FOURIER_C365-1     9.360231e-01
ar.L1             5.548772e-154
ar.L2              1.858970e-02
ar.L3              6.334437e-06
ar.L4              6.531191e-03
ar.S.L7            0.000000e+00
ar.S.L14          2.719480e-177
sigma2             0.000000e+00
dtype: float64, 'resid': date
2017-08-17    14.085481
2017-08-18    12.214746
2017-08-19     9.409584
2017-08-20     3.260034
2017-08-21     3.293946
                ...    
2021-01-13     5.138526
2021-01-14   -11.082114
2021-01-15     2.331886
2021-01-16    17.600562
2021-01-17    -6.052083
Length: 1250, dtype: float64, 'order': (4, 0, 0), 'seasonal_order': (2, 1, 0, 7), 'oob': nan, 'aic': 9823.200350594892, 'aicc': 9823.413597767752, 'bic': 9879.57846460151, 'bse': FOURIER_S365-0    8.080089
FOURIER_C365-0    6.588889
FOURIER_S365-1    3.184970
FOURIER_C365-1    4.587608
ar.L1             0.023253
ar.L2             0.029770
ar.L3             0.027687
ar.L4             0.029651
ar.S.L7           0.012869
ar.S.L14          0.011073
sigma2            1.845632
dtype: float64, 'params': FOURIER_S365-0      3.777855
FOURIER_C365-0     -2.750214
FOURIER_S365-1     -3.028190
FOURIER_C365-1     -0.368244
ar.L1               0.614682
ar.L2               0.070069
ar.L3              -0.125002
ar.L4               0.080645
ar.S.L7            -0.593927
ar.S.L14           -0.314347
sigma2            155.153572
dtype: float64}",307248,B
3,7,11,0.5710000000000001,0.5770000000000001,"{'pvalues': FOURIER_S365-0     6.192752e-01
FOURIER_C365-0     8.427138e-01
FOURIER_S365-1     5.557415e-01
FOURIER_C365-1     6.910576e-01
ar.L1              4.432613e-12
ar.L2             6.341524e-109
ma.L1              1.433025e-76
ar.S.L7            0.000000e+00
ar.S.L14          1.751023e-197
sigma2             0.000000e+00
dtype: float64, 'resid': date
2017-08-25    10.174717
2017-08-26     3.620586
2017-08-27    17.382741
2017-08-28    14.285785
2017-08-29    15.868035
                ...    
2021-01-13    -1.582361
2021-01-14    -2.586648
2021-01-15     5.144132
2021-01-16     2.408453
2021-01-17     3.325691
Length: 1242, dtype: float64, 'order': (2, 0, 1), 'seasonal_order': (2, 1, 0, 7), 'oob': nan, 'aic': 10026.773108545225, 'aicc': 10026.951825035883, 'bic': 10077.961371035846, 'bse': FOURIER_S365-0    8.474576
FOURIER_C365-0    8.260347
FOURIER_S365-1    4.080634
FOURIER_C365-1    4.954607
ar.L1             0.045883
ar.L2             0.026415
ma.L1             0.048119
ar.S.L7           0.009299
ar.S.L14          0.010767
sigma2            1.742215
dtype: float64, 'params': FOURIER_S365-0      4.210829
FOURIER_C365-0     -1.639046
FOURIER_S365-1     -2.404222
FOURIER_C365-1     -1.969061
ar.L1              -0.317630
ar.L2               0.585686
ma.L1               0.891151
ar.S.L7            -0.568240
ar.S.L14           -0.322794
sigma2            192.843236
dtype: float64}",320264,B
4,19,17,0.602,0.255,"{'pvalues': FOURIER_S365-0     6.749042e-01
FOURIER_C365-0     8.114376e-01
FOURIER_S365-1     1.434338e-01
FOURIER_C365-1     8.817874e-01
ar.L1              0.000000e+00
ar.L2              4.058647e-02
ar.L3              4.980132e-06
ar.L4              4.088856e-04
ar.S.L7            0.000000e+00
ar.S.L14          4.147646e-123
sigma2             0.000000e+00
dtype: float64, 'resid': date
2017-08-09    16.338952
2017-08-10    15.354443
2017-08-11    22.315065
2017-08-12    58.993602
2017-08-13    20.335179
                ...    
2021-01-13    22.550227
2021-01-14     4.156004
2021-01-15   -43.226171
2021-01-16    42.166261
2021-01-17    10.931217
Length: 1258, dtype: float64, 'order': (4, 0, 0), 'seasonal_order': (2, 1, 0, 7), 'oob': nan, 'aic': 12434.085415011297, 'aicc': 12434.297293020929, 'bic': 12490.534098626433, 'bse': FOURIER_S365-0    31.260799
FOURIER_C365-0    22.351412
FOURIER_S365-1    10.934326
FOURIER_C365-1    15.931385
ar.L1              0.016192
ar.L2              0.021971
ar.L3              0.026827
ar.L4              0.027865
ar.S.L7            0.009728
ar.S.L14           0.011475
sigma2            13.320034
dtype: float64, 'params': FOURIER_S365-0      13.111617
FOURIER_C365-0      -5.332417
FOURIER_S365-1     -15.998261
FOURIER_C365-1      -2.369058
ar.L1                0.644270
ar.L2                0.044991
ar.L3               -0.122481
ar.L4                0.098484
ar.S.L7             -0.495449
ar.S.L14            -0.270779
sigma2            1189.991395
dtype: float64}",328165,A
5,12,11,0.528,0.273,"{'pvalues': FOURIER_S365-0    4.838861e-01
FOURIER_C365-0    7.899418e-01
FOURIER_S365-1    2.119646e-01
FOURIER_C365-1    7.185973e-01
ar.L1             0.000000e+00
ar.S.L7           0.000000e+00
ar.S.L14          8.367133e-77
sigma2            0.000000e+00
dtype: float64, 'resid': date
2017-08-18     6.261588
2017-08-19     5.927161
2017-08-20     5.978645
2017-08-21     6.026088
2017-08-22     6.069073
                ...    
2021-01-13     5.696697
2021-01-14     7.873189
2021-01-15   -39.648749
2021-01-16    32.981867
2021-01-17   -19.913887
Length: 1249, dtype: float64, 'order': (1, 0, 0), 'seasonal_order': (2, 1, 0, 7), 'oob': nan, 'aic': 11093.96051039837, 'aicc': 11094.076639430628, 'bic': 11134.956336498317, 'bse': FOURIER_S365-0    14.978433
FOURIER_C365-0    11.524653
FOURIER_S365-1     5.697000
FOURIER_C365-1     7.605241
ar.L1              0.011421
ar.S.L7            0.012052
ar.S.L14           0.014495
sigma2             6.812101
dtype: float64, 'params': FOURIER_S365-0     10.485892
FOURIER_C365-0     -3.070009
FOURIER_S365-1     -7.110890
FOURIER_C365-1     -2.740428
ar.L1               0.609868
ar.S.L7            -0.480793
ar.S.L14           -0.268854
sigma2            436.753982
dtype: float64}",349920,A
6,8,8,0.584,0.376,"{'pvalues': FOURIER_S365-0     1.188254e-02
FOURIER_C365-0     2.796549e-01
FOURIER_S365-1     1.273408e-01
FOURIER_C365-1     3.515960e-01
ar.L1              1.149214e-31
ar.L2              2.672754e-69
ar.L3             6.033542e-113
ar.L4              1.693183e-07
ma.L1              8.223359e-02
ma.L2             5.167257e-107
ar.S.L7           1.221315e-194
ar.S.L14          6.508183e-112
sigma2             0.000000e+00
dtype: float64, 'resid': date
2017-08-17    10.635751
2017-08-18     3.427381
2017-08-19     3.461427
2017-08-20     3.493686
2017-08-21     3.523176
                ...    
2021-01-13     9.109291
2021-01-14    -6.473362
2021-01-15    27.615961
2021-01-16     5.946784
2021-01-17    11.086554
Length: 1250, dtype: float64, 'order': (4, 0, 2), 'seasonal_order': (2, 1, 0, 7), 'oob': nan, 'aic': 9972.432825014685, 'aicc': 9972.727323396562, 'bic': 10039.061505204323, 'bse': FOURIER_S365-0    1.452991
FOURIER_C365-0    1.882766
FOURIER_S365-1    1.963605
FOURIER_C365-1    1.415812
ar.L1             0.046665
ar.L2             0.061037
ar.L3             0.023370
ar.L4             0.030260
ma.L1             0.041552
ma.L2             0.041340
ar.S.L7           0.017328
ar.S.L14          0.014809
sigma2            1.981883
dtype: float64, 'params': FOURIER_S365-0      3.655163
FOURIER_C365-0     -2.035448
FOURIER_S365-1     -2.993855
FOURIER_C365-1     -1.318826
ar.L1               0.546392
ar.L2               1.073962
ar.L3              -0.527831
ar.L4              -0.158268
ma.L1              -0.072213
ma.L2              -0.908381
ar.S.L7            -0.515703
ar.S.L14           -0.332910
sigma2            173.894232
dtype: float64}",349924,A
7,7,7,0.537,0.268,"{'pvalues': intercept          8.611886e-01
FOURIER_S365-0     6.853313e-01
FOURIER_C365-0     8.119078e-01
FOURIER_S365-1     4.832756e-01
FOURIER_C365-1     7.817832e-01
ar.L1              1.736208e-34
ar.L2              4.752482e-02
ar.L3              1.177772e-09
ar.L4              2.641151e-43
ar.L5              4.861575e-10
ma.L1              3.942156e-07
ma.L2              8.815221e-01
ma.L3              2.073837e-17
ar.S.L7           5.328466e-105
ar.S.L14           1.174580e-58
sigma2             0.000000e+00
dtype: float64, 'resid': date
2017-08-23     3.811032
2017-08-24     3.347342
2017-08-25    11.510330
2017-08-26     7.983342
2017-08-27    21.730674
                ...    
2021-01-13    14.532394
2021-01-14   -11.281695
2021-01-15     3.346029
2021-01-16    11.269431
2021-01-17    16.350713
Length: 1244, dtype: float64, 'order': (5, 0, 3), 'seasonal_order': (2, 1, 0, 7), 'oob': nan, 'aic': 9995.459444927044, 'aicc': 9995.902802710256, 'bic': 10077.386554885325, 'bse': intercept         0.782307
FOURIER_S365-0    9.296206
FOURIER_C365-0    8.222524
FOURIER_S365-1    4.376669
FOURIER_C365-1    5.269135
ar.L1             0.086451
ar.L2             0.139947
ar.L3             0.129432
ar.L4             0.047344
ar.L5             0.027258
ma.L1             0.087167
ma.L2             0.103506
ma.L3             0.088082
ar.S.L7           0.024041
ar.S.L14          0.017866
sigma2            2.814276
dtype: float64, 'params': intercept           0.136795
FOURIER_S365-0      3.766813
FOURIER_C365-0     -1.956677
FOURIER_S365-1     -3.068237
FOURIER_C365-1     -1.459529
ar.L1               1.058795
ar.L2              -0.277318
ar.L3              -0.787365
ar.L4               0.653228
ar.L5              -0.169640
ma.L1              -0.442089
ma.L2               0.015427
ma.L3               0.747776
ar.S.L7            -0.523183
ar.S.L14           -0.288491
sigma2            191.144886
dtype: float64}",349952,B
8,9,12,0.519,0.371,"{'pvalues': intercept          7.959257e-01
FOURIER_S365-0     1.368744e-02
FOURIER_C365-0     3.090620e-01
FOURIER_S365-1     4.703380e-02
FOURIER_C365-1     3.557887e-01
ar.L1              0.000000e+00
ar.L2              4.777649e-28
ar.L3              5.980273e-08
ar.L4              2.613205e-09
ar.L5              1.527777e-06
ma.L1              0.000000e+00
ar.S.L7           4.081482e-280
ar.S.L14          2.762819e-103
sigma2             0.000000e+00
dtype: float64, 'resid': date
2017-08-17    19.593521
2017-08-18    18.461980
2017-08-19    12.101934
2017-08-20     3.457023
2017-08-21     3.504941
                ...    
2021-01-13    27.370040
2021-01-14    -3.129837
2021-01-15   -16.561417
2021-01-16    18.664470
2021-01-17   -13.354910
Length: 1250, dtype: float64, 'order': (5, 0, 1), 'seasonal_order': (2, 1, 0, 7), 'oob': nan, 'aic': 10404.220529728667, 'aicc': 10404.560610700328, 'bic': 10475.974493009817, 'bse': intercept         0.008736
FOURIER_S365-0    1.763849
FOURIER_C365-0    1.991347
FOURIER_S365-1    1.903124
FOURIER_C365-1    1.377115
ar.L1             0.021163
ar.L2             0.042755
ar.L3             0.050097
ar.L4             0.046749
ar.L5             0.029830
ma.L1             0.009601
ar.S.L7           0.015694
ar.S.L14          0.013231
sigma2            3.818389
dtype: float64, 'params': intercept           0.002259
FOURIER_S365-0      4.348529
FOURIER_C365-0     -2.025582
FOURIER_S365-1     -3.779595
FOURIER_C365-1     -1.271655
ar.L1               1.565910
ar.L2              -0.469441
ar.L3              -0.271496
ar.L4               0.278356
ar.L5              -0.143408
ma.L1              -0.986708
ar.S.L7            -0.561280
ar.S.L14           -0.285537
sigma2            232.513924
dtype: float64}",349958,A
9,6,5,0.586,0.358,"{'pvalues': FOURIER_S365-0     5.684666e-01
FOURIER_C365-0     8.830995e-01
FOURIER_S365-1     3.671747e-01
FOURIER_C365-1     6.703526e-01
ar.L1             9.575927e-251
ar.L2              1.524447e-01
ar.L3              1.843044e-08
ar.L4              4.185522e-05
ar.S.L7            0.000000e+00
ar.S.L14          1.120491e-140
sigma2             0.000000e+00
dtype: float64, 'resid': date
2017-08-18    10.568527
2017-08-19     8.804292
2017-08-20     2.493266
2017-08-21     2.504784
2017-08-22     2.513496
                ...    
2021-01-13    -3.161855
2021-01-14     1.741106
2021-01-15    -7.534848
2021-01-16     4.538628
2021-01-17    10.786705
Length: 1249, dtype: float64, 'order': (4, 0, 0), 'seasonal_order': (2, 1, 0, 7), 'oob': nan, 'aic': 9336.240186469364, 'aicc': 9336.453606032825, 'bic': 9392.609447356792, 'bse': FOURIER_S365-0    7.660875
FOURIER_C365-0    5.808946
FOURIER_S365-1    3.030527
FOURIER_C365-1    3.746128
ar.L1             0.019032
ar.L2             0.022360
ar.L3             0.022515
ar.L4             0.027875
ar.S.L7           0.011174
ar.S.L14          0.011762
sigma2            1.275393
dtype: float64, 'params': FOURIER_S365-0      4.369084
FOURIER_C365-0     -0.854155
FOURIER_S365-1     -2.732863
FOURIER_C365-1     -1.594592
ar.L1               0.643685
ar.L2               0.031996
ar.L3              -0.126674
ar.L4               0.114202
ar.S.L7            -0.579215
ar.S.L14           -0.297005
sigma2            105.514682
dtype: float64}",349962,C
10,8,12,0.547,0.403,"{'pvalues': FOURIER_S365-0     1.135111e-01
FOURIER_C365-0     4.198885e-01
FOURIER_S365-1     1.142546e-01
FOURIER_C365-1     2.312067e-01
ar.L1              2.365873e-71
ar.L2              1.400651e-53
ar.L3             4.226950e-125
ma.L1              9.708758e-02
ma.L2              4.208593e-77
ar.S.L7            0.000000e+00
ar.S.L14           4.521902e-91
sigma2             0.000000e+00
dtype: float64, 'resid': date
2017-08-25    15.272907
2017-08-26    12.964009
2017-08-27    10.008489
2017-08-28    10.229579
2017-08-29     6.095681
                ...    
2021-01-13    13.343115
2021-01-14     0.869244
2021-01-15     9.721402
2021-01-16     3.664982
2021-01-17     4.543579
Length: 1242, dtype: float64, 'order': (3, 0, 2), 'seasonal_order': (2, 1, 0, 7), 'oob': nan, 'aic': 10128.658019445455, 'aicc': 10128.911884376294, 'bic': 10190.0839344342, 'bse': FOURIER_S365-0    3.236260
FOURIER_C365-0    3.138729
FOURIER_S365-1    2.311175
FOURIER_C365-1    1.972575
ar.L1             0.039321
ar.L2             0.057168
ar.L3             0.027245
ma.L1             0.045596
ma.L2             0.047014
ar.S.L7           0.011519
ar.S.L14          0.013601
sigma2            2.437662
dtype: float64, 'params': FOURIER_S365-0      5.121728
FOURIER_C365-0     -2.531745
FOURIER_S365-1     -3.650167
FOURIER_C365-1     -2.361678
ar.L1               0.702323
ar.L2               0.880966
ar.L3              -0.648172
ma.L1              -0.075651
ma.L2              -0.873777
ar.S.L7            -0.495405
ar.S.L14           -0.275262
sigma2            201.804906
dtype: float64}",349972,B
11,6,4,0.532,0.404,"{'pvalues': FOURIER_S365-0     5.560938e-01
FOURIER_C365-0     7.974962e-01
FOURIER_S365-1     4.724398e-01
FOURIER_C365-1     9.328825e-01
ar.L1              4.767011e-33
ar.L2             6.179022e-176
ma.L1             5.300613e-222
ar.S.L7           6.046017e-307
ar.S.L14          2.282165e-166
sigma2             0.000000e+00
dtype: float64, 'resid': date
2017-08-17    13.291070
2017-08-18     5.047407
2017-08-19     1.362536
2017-08-20     1.360935
2017-08-21     1.358336
                ...    
2021-01-13    -1.344145
2021-01-14    -4.120637
2021-01-15    27.340836
2021-01-16    -5.936125
2021-01-17     2.846165
Length: 1250, dtype: float64, 'order': (2, 0, 1), 'seasonal_order': (2, 1, 0, 7), 'oob': nan, 'aic': 9053.240662718457, 'aicc': 9053.4182252689, 'bic': 9104.493493633565, 'bse': FOURIER_S365-0    4.902005
FOURIER_C365-0    4.372814
FOURIER_S365-1    2.021000
FOURIER_C365-1    2.895452
ar.L1             0.030871
ar.L2             0.020738
ma.L1             0.029673
ar.S.L7           0.015435
ar.S.L14          0.012525
sigma2            1.098019
dtype: float64, 'params': FOURIER_S365-0     2.885582
FOURIER_C365-0    -1.122015
FOURIER_S365-1    -1.452119
FOURIER_C365-1    -0.243852
ar.L1             -0.369699
ar.L2              0.586455
ma.L1              0.943782
ar.S.L7           -0.578026
ar.S.L14          -0.344309
sigma2            83.658820
dtype: float64}",349978,C
