,RW_mae_OOS,RW_mape_OOS,arima_mae_IS,arima_mae_OOS,arima_mape_IS,arima_mape_OOS,fc_IS,fc_OOS,fc_RW,store_id
0,11.0,0.322,10.0,15.0,0.498,0.537,"date
2017-08-07    -4.671150
2017-08-08    -4.712897
2017-08-09    -4.755476
2017-08-10    -4.785360
2017-08-11    -4.826274
                ...    
2021-01-13    22.216508
2021-01-14    30.942646
2021-01-15    25.977174
2021-01-16    30.967585
2021-01-17    44.770993
Freq: D, Name: predicted_mean, Length: 1260, dtype: float64","date
2021-01-18     6.249652
2021-01-19    13.209775
2021-01-20    17.940173
2021-01-21    31.159058
2021-01-22    26.111529
2021-01-23    29.106162
2021-01-24    32.045239
2021-01-25     8.908751
2021-01-26    12.207428
2021-01-27    15.899504
2021-01-28    29.025410
2021-01-29    22.807184
2021-01-30    27.254363
2021-01-31    30.241591
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    26.073581
2021-01-19    26.073581
2021-01-20    26.073581
2021-01-21    26.073581
2021-01-22    26.073581
2021-01-23    26.073581
2021-01-24    26.073581
2021-01-25    26.073581
2021-01-26    26.073581
2021-01-27    26.073581
2021-01-28    26.073581
2021-01-29    26.073581
2021-01-30    26.073581
2021-01-31    26.073581
Freq: D, Name: RW_forecast, dtype: float64",307222.0
1,13.0,0.555,9.0,6.0,0.518,0.319,"date
2017-08-10    -3.770802
2017-08-11    -3.772330
2017-08-12    -3.774220
2017-08-13    -3.775487
2017-08-14    -3.775436
                ...    
2021-01-13    17.197813
2021-01-14    27.716711
2021-01-15    22.024498
2021-01-16    27.890062
2021-01-17    31.326666
Freq: D, Name: predicted_mean, Length: 1257, dtype: float64","date
2021-01-18     8.627162
2021-01-19    14.343874
2021-01-20    25.985365
2021-01-21    19.839141
2021-01-22    18.051572
2021-01-23    25.726747
2021-01-24    25.060434
2021-01-25     7.672127
2021-01-26    13.408953
2021-01-27    21.523715
2021-01-28    20.268599
2021-01-29    16.439600
2021-01-30    24.782350
2021-01-31    28.007567
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    30.4334
2021-01-19    30.4334
2021-01-20    30.4334
2021-01-21    30.4334
2021-01-22    30.4334
2021-01-23    30.4334
2021-01-24    30.4334
2021-01-25    30.4334
2021-01-26    30.4334
2021-01-27    30.4334
2021-01-28    30.4334
2021-01-29    30.4334
2021-01-30    30.4334
2021-01-31    30.4334
Freq: D, Name: RW_forecast, dtype: float64",307244.0
2,9.0,0.334,7.0,7.0,0.507,0.298,"date
2017-08-17    -3.323918
2017-08-18    -3.368017
2017-08-19    -3.412590
2017-08-20    -3.457478
2017-08-21    -3.502281
                ...    
2021-01-13    18.155431
2021-01-14    28.048673
2021-01-15    12.684142
2021-01-16    16.966998
2021-01-17    36.346814
Freq: D, Name: predicted_mean, Length: 1250, dtype: float64","date
2021-01-18    13.598819
2021-01-19    19.695714
2021-01-20    21.165858
2021-01-21    22.913863
2021-01-22    15.282040
2021-01-23    25.613871
2021-01-24    28.169887
2021-01-25    10.913683
2021-01-26    19.114623
2021-01-27    19.331334
2021-01-28    18.421925
2021-01-29    12.538408
2021-01-30    24.210986
2021-01-31    29.001013
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    29.9636
2021-01-19    29.9636
2021-01-20    29.9636
2021-01-21    29.9636
2021-01-22    29.9636
2021-01-23    29.9636
2021-01-24    29.9636
2021-01-25    29.9636
2021-01-26    29.9636
2021-01-27    29.9636
2021-01-28    29.9636
2021-01-29    29.9636
2021-01-30    29.9636
2021-01-31    29.9636
Freq: D, Name: RW_forecast, dtype: float64",307248.0
3,11.0,0.497,7.0,11.0,0.567,0.566,"date
2017-08-25    -3.881063
2017-08-26    -3.886773
2017-08-27    -3.892318
2017-08-28    -3.892464
2017-08-29    -3.891547
                ...    
2021-01-13    10.694315
2021-01-14    14.052414
2021-01-15     4.869388
2021-01-16    14.996005
2021-01-17    18.152355
Freq: D, Name: predicted_mean, Length: 1242, dtype: float64","date
2021-01-18    10.625548
2021-01-19     8.240543
2021-01-20    10.161427
2021-01-21    13.917781
2021-01-22     7.096348
2021-01-23    16.643601
2021-01-24    16.640612
2021-01-25     8.075546
2021-01-26     5.865398
2021-01-27     6.895259
2021-01-28    11.316213
2021-01-29     6.072587
2021-01-30    14.293490
2021-01-31    17.299495
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    21.2306
2021-01-19    21.2306
2021-01-20    21.2306
2021-01-21    21.2306
2021-01-22    21.2306
2021-01-23    21.2306
2021-01-24    21.2306
2021-01-25    21.2306
2021-01-26    21.2306
2021-01-27    21.2306
2021-01-28    21.2306
2021-01-29    21.2306
2021-01-30    21.2306
2021-01-31    21.2306
Freq: D, Name: RW_forecast, dtype: float64",320264.0
4,104.0,0.9,19.0,16.0,0.602,0.253,"date
2017-08-09     -7.809527
2017-08-10     -8.095712
2017-08-11     -8.388114
2017-08-12     -8.672135
2017-08-13     -8.900978
                 ...    
2021-01-13     35.154171
2021-01-14     62.309520
2021-01-15    107.117307
2021-01-16     85.568903
2021-01-17    166.440691
Freq: D, Name: predicted_mean, Length: 1258, dtype: float64","date
2021-01-18     51.908821
2021-01-19     50.921056
2021-01-20     49.543519
2021-01-21     57.469710
2021-01-22    104.973994
2021-01-23    122.698754
2021-01-24    160.754645
2021-01-25     34.556271
2021-01-26     38.576736
2021-01-27     40.192127
2021-01-28     46.243867
2021-01-29     73.997804
2021-01-30    113.615955
2021-01-31    160.373671
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    177.126951
2021-01-19    177.126951
2021-01-20    177.126951
2021-01-21    177.126951
2021-01-22    177.126951
2021-01-23    177.126951
2021-01-24    177.126951
2021-01-25    177.126951
2021-01-26    177.126951
2021-01-27    177.126951
2021-01-28    177.126951
2021-01-29    177.126951
2021-01-30    177.126951
2021-01-31    177.126951
Freq: D, Name: RW_forecast, dtype: float64",328165.0
5,44.0,0.692,12.0,10.0,0.525,0.256,"date
2017-08-18     -5.782972
2017-08-19     -5.838785
2017-08-20     -5.891595
2017-08-21     -5.940581
2017-08-22     -5.985067
                 ...    
2021-01-13     28.742629
2021-01-14     39.723839
2021-01-15     69.545128
2021-01-16     45.403144
2021-01-17    105.502081
Freq: D, Name: predicted_mean, Length: 1249, dtype: float64","date
2021-01-18    21.352303
2021-01-19    21.280387
2021-01-20    27.300849
2021-01-21    36.060391
2021-01-22    58.235884
2021-01-23    69.701172
2021-01-24    86.771455
2021-01-25    19.157888
2021-01-26    19.645948
2021-01-27    24.239667
2021-01-28    34.443255
2021-01-29    42.196945
2021-01-30    65.226733
2021-01-31    88.204277
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    87.2592
2021-01-19    87.2592
2021-01-20    87.2592
2021-01-21    87.2592
2021-01-22    87.2592
2021-01-23    87.2592
2021-01-24    87.2592
2021-01-25    87.2592
2021-01-26    87.2592
2021-01-27    87.2592
2021-01-28    87.2592
2021-01-29    87.2592
2021-01-30    87.2592
2021-01-31    87.2592
Freq: D, Name: RW_forecast, dtype: float64",349920.0
6,29.0,0.805,7.0,8.0,0.567,0.327,"date
2017-08-17    -3.427283
2017-08-18    -3.463438
2017-08-19    -3.499780
2017-08-20    -3.534868
2017-08-21    -3.567642
                ...    
2021-01-13    16.666064
2021-01-14    26.986348
2021-01-15    16.117289
2021-01-16    33.209750
2021-01-17    42.578845
Freq: D, Name: predicted_mean, Length: 1250, dtype: float64","date
2021-01-18    27.281396
2021-01-19    32.018798
2021-01-20    27.592140
2021-01-21    29.497421
2021-01-22    32.888195
2021-01-23    34.853155
2021-01-24    41.149130
2021-01-25    22.577276
2021-01-26    27.564614
2021-01-27    22.756519
2021-01-28    22.196721
2021-01-29    27.576653
2021-01-30    29.755973
2021-01-31    38.283263
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    51.9285
2021-01-19    51.9285
2021-01-20    51.9285
2021-01-21    51.9285
2021-01-22    51.9285
2021-01-23    51.9285
2021-01-24    51.9285
2021-01-25    51.9285
2021-01-26    51.9285
2021-01-27    51.9285
2021-01-28    51.9285
2021-01-29    51.9285
2021-01-30    51.9285
2021-01-31    51.9285
Freq: D, Name: RW_forecast, dtype: float64",349924.0
7,28.0,0.729,7.0,8.0,0.538,0.288,"date
2017-08-23    -3.633639
2017-08-24    -3.675048
2017-08-25    -3.714851
2017-08-26    -3.750903
2017-08-27    -3.786239
                ...    
2021-01-13    15.438503
2021-01-14    32.820876
2021-01-15    20.005068
2021-01-16    18.499398
2021-01-17    36.278493
Freq: D, Name: predicted_mean, Length: 1244, dtype: float64","date
2021-01-18    36.043169
2021-01-19    29.334975
2021-01-20    25.472061
2021-01-21    27.207816
2021-01-22    25.196526
2021-01-23    25.141805
2021-01-24    37.879753
2021-01-25    26.954473
2021-01-26    22.603095
2021-01-27    19.475790
2021-01-28    20.860661
2021-01-29    21.805532
2021-01-30    23.549286
2021-01-31    37.771525
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    53.3448
2021-01-19    53.3448
2021-01-20    53.3448
2021-01-21    53.3448
2021-01-22    53.3448
2021-01-23    53.3448
2021-01-24    53.3448
2021-01-25    53.3448
2021-01-26    53.3448
2021-01-27    53.3448
2021-01-28    53.3448
2021-01-29    53.3448
2021-01-30    53.3448
2021-01-31    53.3448
Freq: D, Name: RW_forecast, dtype: float64",349952.0
8,11.0,0.282,9.0,11.0,0.504,0.351,"date
2017-08-17    -3.549393
2017-08-18    -3.594311
2017-08-19    -3.640180
2017-08-20    -3.688839
2017-08-21    -3.738459
                ...    
2021-01-13    14.009507
2021-01-14    40.511994
2021-01-15    40.016506
2021-01-16    21.164377
2021-01-17    52.113110
Freq: D, Name: predicted_mean, Length: 1250, dtype: float64","date
2021-01-18    20.705384
2021-01-19    16.061460
2021-01-20    32.041256
2021-01-21    30.626875
2021-01-22    26.497303
2021-01-23    30.393569
2021-01-24    39.926569
2021-01-25    18.265746
2021-01-26    15.249705
2021-01-27    26.857374
2021-01-28    26.093131
2021-01-29    21.912383
2021-01-30    28.208542
2021-01-31    42.478059
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    39.6078
2021-01-19    39.6078
2021-01-20    39.6078
2021-01-21    39.6078
2021-01-22    39.6078
2021-01-23    39.6078
2021-01-24    39.6078
2021-01-25    39.6078
2021-01-26    39.6078
2021-01-27    39.6078
2021-01-28    39.6078
2021-01-29    39.6078
2021-01-30    39.6078
2021-01-31    39.6078
Freq: D, Name: RW_forecast, dtype: float64",349958.0
9,15.0,0.697,6.0,5.0,0.588,0.348,"date
2017-08-18    -2.525561
2017-08-19    -2.547483
2017-08-20    -2.568269
2017-08-21    -2.588207
2017-08-22    -2.605639
                ...    
2021-01-13    12.745885
2021-01-14     8.885305
2021-01-15    17.420061
2021-01-16    22.165435
2021-01-17    19.780163
Freq: D, Name: predicted_mean, Length: 1249, dtype: float64","date
2021-01-18    15.486850
2021-01-19    10.026570
2021-01-20    10.120115
2021-01-21    10.076850
2021-01-22    14.937791
2021-01-23    26.654278
2021-01-24    23.886380
2021-01-25    10.140533
2021-01-26     6.967969
2021-01-27     8.590643
2021-01-28     8.530359
2021-01-29    10.755232
2021-01-30    24.384272
2021-01-31    23.491677
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    30.427803
2021-01-19    30.427803
2021-01-20    30.427803
2021-01-21    30.427803
2021-01-22    30.427803
2021-01-23    30.427803
2021-01-24    30.427803
2021-01-25    30.427803
2021-01-26    30.427803
2021-01-27    30.427803
2021-01-28    30.427803
2021-01-29    30.427803
2021-01-30    30.427803
2021-01-31    30.427803
Freq: D, Name: RW_forecast, dtype: float64",349962.0
10,16.0,0.459,8.0,10.0,0.542,0.31,"date
2017-08-25    -4.912337
2017-08-26    -4.948306
2017-08-27    -4.983469
2017-08-28    -5.017456
2017-08-29    -5.048493
                ...    
2021-01-13    18.789946
2021-01-14    25.991549
2021-01-15    26.607389
2021-01-16    44.688355
2021-01-17    37.827434
Freq: D, Name: predicted_mean, Length: 1242, dtype: float64","date
2021-01-18    26.702862
2021-01-19    24.719889
2021-01-20    28.925642
2021-01-21    21.324695
2021-01-22    30.799223
2021-01-23    39.746717
2021-01-24    35.665370
2021-01-25    19.216761
2021-01-26    18.793286
2021-01-27    24.156582
2021-01-28    18.811235
2021-01-29    27.129328
2021-01-30    38.413833
2021-01-31    34.414160
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    43.4184
2021-01-19    43.4184
2021-01-20    43.4184
2021-01-21    43.4184
2021-01-22    43.4184
2021-01-23    43.4184
2021-01-24    43.4184
2021-01-25    43.4184
2021-01-26    43.4184
2021-01-27    43.4184
2021-01-28    43.4184
2021-01-29    43.4184
2021-01-30    43.4184
2021-01-31    43.4184
Freq: D, Name: RW_forecast, dtype: float64",349972.0
11,10.0,0.628,6.0,4.0,0.532,0.388,"date
2017-08-17    -1.532008
2017-08-18    -1.533512
2017-08-19    -1.535930
2017-08-20    -1.538423
2017-08-21    -1.540233
                ...    
2021-01-13     9.502183
2021-01-14     7.778877
2021-01-15     4.207364
2021-01-16    23.166879
2021-01-17    19.440261
Freq: D, Name: predicted_mean, Length: 1250, dtype: float64","date
2021-01-18    10.310982
2021-01-19     8.092545
2021-01-20     8.028233
2021-01-21     7.797634
2021-01-22    16.296270
2021-01-23    15.119243
2021-01-24    16.747838
2021-01-25     7.431357
2021-01-26     5.011623
2021-01-27     7.040175
2021-01-28     5.337978
2021-01-29    16.247380
2021-01-30    13.331840
2021-01-31    17.548500
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    20.6484
2021-01-19    20.6484
2021-01-20    20.6484
2021-01-21    20.6484
2021-01-22    20.6484
2021-01-23    20.6484
2021-01-24    20.6484
2021-01-25    20.6484
2021-01-26    20.6484
2021-01-27    20.6484
2021-01-28    20.6484
2021-01-29    20.6484
2021-01-30    20.6484
2021-01-31    20.6484
Freq: D, Name: RW_forecast, dtype: float64",349978.0
12,13.0,0.353,9.0,13.0,0.515,0.389,"date
2017-08-18    -5.076636
2017-08-19    -5.099233
2017-08-20    -5.122597
2017-08-21    -5.144185
2017-08-22    -5.162262
                ...    
2021-01-13    29.309724
2021-01-14    40.393326
2021-01-15    19.534469
2021-01-16    29.462961
2021-01-17    54.805462
Freq: D, Name: predicted_mean, Length: 1249, dtype: float64","date
2021-01-18    16.117052
2021-01-19    16.908588
2021-01-20    26.408798
2021-01-21    24.527933
2021-01-22    27.767213
2021-01-23    29.848932
2021-01-24    41.440192
2021-01-25    15.722555
2021-01-26    18.160871
2021-01-27    26.111571
2021-01-28    22.103854
2021-01-29    24.859563
2021-01-30    28.460970
2021-01-31    41.342724
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    39.91881
2021-01-19    39.91881
2021-01-20    39.91881
2021-01-21    39.91881
2021-01-22    39.91881
2021-01-23    39.91881
2021-01-24    39.91881
2021-01-25    39.91881
2021-01-26    39.91881
2021-01-27    39.91881
2021-01-28    39.91881
2021-01-29    39.91881
2021-01-30    39.91881
2021-01-31    39.91881
Freq: D, Name: RW_forecast, dtype: float64",349980.0
13,10.0,0.515,5.0,6.0,0.506,0.316,"date
2017-09-01    -2.598361
2017-09-02    -2.604515
2017-09-03    -2.608851
2017-09-04    -2.611498
2017-09-05    -2.612067
                ...    
2021-01-13    13.138380
2021-01-14    17.885834
2021-01-15    13.370501
2021-01-16    18.350737
2021-01-17    22.748178
Freq: D, Name: predicted_mean, Length: 1235, dtype: float64","date
2021-01-18     9.646518
2021-01-19    13.200462
2021-01-20    12.393245
2021-01-21    14.171686
2021-01-22    14.957987
2021-01-23    17.025595
2021-01-24    20.254780
2021-01-25     8.634468
2021-01-26    11.666449
2021-01-27    10.870574
2021-01-28    11.385985
2021-01-29    12.494039
2021-01-30    16.591684
2021-01-31    21.154720
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    24.157
2021-01-19    24.157
2021-01-20    24.157
2021-01-21    24.157
2021-01-22    24.157
2021-01-23    24.157
2021-01-24    24.157
2021-01-25    24.157
2021-01-26    24.157
2021-01-27    24.157
2021-01-28    24.157
2021-01-29    24.157
2021-01-30    24.157
2021-01-31    24.157
Freq: D, Name: RW_forecast, dtype: float64",349998.0
14,25.0,0.663,5.0,7.0,0.503,0.268,"date
2017-08-17    -1.521889
2017-08-18    -1.552691
2017-08-19    -1.584530
2017-08-20    -1.617049
2017-08-21    -1.650564
                ...    
2021-01-13    21.888762
2021-01-14    27.029746
2021-01-15    19.991966
2021-01-16    34.544662
2021-01-17    40.668428
Freq: D, Name: predicted_mean, Length: 1250, dtype: float64","date
2021-01-18    23.074612
2021-01-19    28.550888
2021-01-20    28.261232
2021-01-21    26.882548
2021-01-22    28.497475
2021-01-23    32.615185
2021-01-24    45.292952
2021-01-25    18.870555
2021-01-26    27.677265
2021-01-27    24.566269
2021-01-28    24.088836
2021-01-29    25.159583
2021-01-30    30.412137
2021-01-31    51.339770
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    52.4748
2021-01-19    52.4748
2021-01-20    52.4748
2021-01-21    52.4748
2021-01-22    52.4748
2021-01-23    52.4748
2021-01-24    52.4748
2021-01-25    52.4748
2021-01-26    52.4748
2021-01-27    52.4748
2021-01-28    52.4748
2021-01-29    52.4748
2021-01-30    52.4748
2021-01-31    52.4748
Freq: D, Name: RW_forecast, dtype: float64",350016.0
15,106.0,0.968,11.0,12.0,0.49,0.19,"date
2017-08-17     -6.679501
2017-08-18     -6.752477
2017-08-19     -6.826729
2017-08-20     -6.902181
2017-08-21     -6.975138
                 ...    
2021-01-13     25.857624
2021-01-14     39.420014
2021-01-15     75.422362
2021-01-16     94.863240
2021-01-17    141.468540
Freq: D, Name: predicted_mean, Length: 1250, dtype: float64","date
2021-01-18     63.086782
2021-01-19     44.653916
2021-01-20     42.541705
2021-01-21     51.448912
2021-01-22     76.554932
2021-01-23    116.622940
2021-01-24    149.811793
2021-01-25     51.930153
2021-01-26     40.708919
2021-01-27     35.560757
2021-01-28     43.398905
2021-01-29     59.408380
2021-01-30    108.660075
2021-01-31    148.561150
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    170.9275
2021-01-19    170.9275
2021-01-20    170.9275
2021-01-21    170.9275
2021-01-22    170.9275
2021-01-23    170.9275
2021-01-24    170.9275
2021-01-25    170.9275
2021-01-26    170.9275
2021-01-27    170.9275
2021-01-28    170.9275
2021-01-29    170.9275
2021-01-30    170.9275
2021-01-31    170.9275
Freq: D, Name: RW_forecast, dtype: float64",350018.0
16,4.0,0.24,4.0,6.0,0.544,0.52,"date
2017-08-18    -1.620946
2017-08-19    -1.639784
2017-08-20    -1.658327
2017-08-21    -1.676593
2017-08-22    -1.694454
                ...    
2021-01-13     9.972242
2021-01-14     8.234766
2021-01-15    13.555645
2021-01-16    14.573066
2021-01-17    12.931095
Freq: D, Name: predicted_mean, Length: 1249, dtype: float64","date
2021-01-18     7.009750
2021-01-19     5.236544
2021-01-20     7.355174
2021-01-21     6.444316
2021-01-22    12.535146
2021-01-23    14.700673
2021-01-24    12.705877
2021-01-25     6.585555
2021-01-26     6.497188
2021-01-27     7.253301
2021-01-28     6.014789
2021-01-29    11.502039
2021-01-30    14.232454
2021-01-31    13.225957
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    12.0214
2021-01-19    12.0214
2021-01-20    12.0214
2021-01-21    12.0214
2021-01-22    12.0214
2021-01-23    12.0214
2021-01-24    12.0214
2021-01-25    12.0214
2021-01-26    12.0214
2021-01-27    12.0214
2021-01-28    12.0214
2021-01-29    12.0214
2021-01-30    12.0214
2021-01-31    12.0214
Freq: D, Name: RW_forecast, dtype: float64",350026.0
17,11.0,0.733,4.0,4.0,0.526,0.36,"date
2017-08-18    -1.254140
2017-08-19    -1.275141
2017-08-20    -1.296177
2017-08-21    -1.317680
2017-08-22    -1.339151
                ...    
2021-01-13     9.259333
2021-01-14    14.949644
2021-01-15     6.299545
2021-01-16    10.475141
2021-01-17    16.208093
Freq: D, Name: predicted_mean, Length: 1249, dtype: float64","date
2021-01-18     9.674184
2021-01-19    14.372193
2021-01-20     9.373631
2021-01-21    14.210741
2021-01-22     8.723168
2021-01-23    14.253344
2021-01-24    16.513305
2021-01-25     7.023350
2021-01-26    12.542668
2021-01-27     7.764816
2021-01-28    11.096285
2021-01-29     7.240084
2021-01-30    12.496926
2021-01-31    17.795928
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    20.923
2021-01-19    20.923
2021-01-20    20.923
2021-01-21    20.923
2021-01-22    20.923
2021-01-23    20.923
2021-01-24    20.923
2021-01-25    20.923
2021-01-26    20.923
2021-01-27    20.923
2021-01-28    20.923
2021-01-29    20.923
2021-01-30    20.923
2021-01-31    20.923
Freq: D, Name: RW_forecast, dtype: float64",350028.0
